Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1,0,0,1,0,5849,0,128,8,1,Urban,1
1,1,1,1,0,4583,1508,128,8,1,Rural,0
1,1,0,1,1,3000,0,66,8,1,Urban,1
1,1,0,0,0,2583,2358,120,8,1,Urban,1
1,0,0,1,0,6000,0,141,8,1,Urban,1
1,1,2,1,1,5417,4196,265,8,1,Urban,1
1,1,0,0,0,2333,1516,95,8,1,Urban,1
1,1,3,1,0,3036,2504,158,8,0,Semiurban,0
1,1,2,1,0,4006,1526,168,8,1,Urban,1
1,1,1,1,0,10235.5,5765,265,8,1,Semiurban,0
1,1,2,1,0,3200,700,70,8,1,Urban,1
1,1,2,1,0,2500,1840,109,8,1,Urban,1
1,1,2,1,0,3073,5765,200,8,1,Urban,1
1,0,0,1,0,1853,2840,114,8,1,Rural,0
1,1,2,1,0,1299,1086,17,4,1,Urban,1
1,0,0,1,0,4950,0,125,8,1,Urban,1
1,0,1,0,0,3596,0,100,6,1,Urban,1
0,0,0,1,0,3510,0,76,8,0,Urban,0
1,1,0,0,0,4887,0,133,8,1,Rural,0
1,1,0,1,0,2600,3500,115,8,1,Urban,1
1,1,0,0,0,7660,0,104,8,0,Urban,0
1,1,1,1,0,5955,5625,265,8,1,Urban,1
1,1,0,0,0,2600,1911,116,8,0,Semiurban,0
1,1,2,0,0,3365,1917,112,8,0,Rural,0
1,1,1,1,0,3717,2925,151,8,1,Semiurban,0
1,1,0,1,1,9560,0,191,8,1,Semiurban,1
1,1,0,1,0,2799,2253,122,8,1,Semiurban,1
1,1,2,0,0,4226,1040,110,8,1,Urban,1
1,0,0,0,0,1442,0,35,8,1,Urban,0
0,0,2,1,0,3750,2083,120,8,1,Semiurban,1
1,1,1,1,0,4166,3369,201,8,1,Urban,0
1,0,0,1,0,3167,0,74,8,1,Urban,0
1,0,1,1,1,4692,0,106,8,1,Rural,0
1,1,0,1,0,3500,1667,114,8,1,Semiurban,1
1,0,3,1,0,10235.5,3000,265,8,1,Rural,0
1,1,0,1,0,2275,2067,128,8,1,Urban,1
1,1,0,1,0,1828,1330,100,8,0,Urban,0
0,1,0,1,0,3667,1459,144,8,1,Semiurban,1
1,0,0,1,0,4166,5765,184,8,1,Urban,1
1,0,0,0,0,3748,1668,110,8,1,Semiurban,1
1,0,0,1,0,3600,0,80,8,1,Urban,0
1,0,0,1,0,1800,1213,47,8,1,Urban,1
1,1,0,1,0,2400,0,75,8,1,Urban,1
1,1,0,1,0,3941,2336,134,8,1,Semiurban,1
1,1,0,0,1,4695,0,96,8,1,Urban,1
0,0,0,1,0,3410,0,88,8,1,Urban,1
1,1,1,1,0,5649,0,44,8,1,Urban,1
1,1,0,1,0,5821,0,144,8,1,Urban,1
0,1,0,1,0,2645,3440,120,8,0,Urban,0
0,0,0,1,0,4000,2275,144,8,1,Semiurban,1
0,1,0,0,0,1928,1644,100,8,1,Semiurban,1
0,0,0,1,0,3086,0,120,8,1,Semiurban,1
0,0,0,1,0,4230,0,112,8,1,Semiurban,0
1,1,2,1,0,4616,0,134,8,1,Urban,0
0,1,1,1,1,10235.5,0,265,8,0,Urban,0
1,1,2,1,0,2708,1167,97,8,1,Semiurban,1
1,1,0,1,0,2132,1591,96,8,1,Semiurban,1
1,1,0,1,0,3366,2200,135,8,1,Rural,0
1,1,1,1,0,8080,2250,180,8,1,Urban,1
1,1,2,0,0,3357,2859,144,8,1,Urban,1
1,1,0,1,0,2500,3796,120,8,1,Urban,1
1,1,3,1,0,3029,0,99,8,1,Urban,1
1,1,0,0,1,2609,3449,165,5,0,Rural,0
1,1,1,1,0,4945,0,128,8,0,Rural,0
0,0,0,1,0,4166,0,116,8,0,Semiurban,0
1,1,0,1,0,5726,4595,258,8,1,Semiurban,0
1,0,0,0,0,3200,2254,126,5,0,Urban,0
1,1,1,1,0,10235.5,0,265,8,1,Urban,1
1,1,3,0,1,7100,0,125,2,1,Urban,1
0,0,0,1,0,4300,0,136,8,0,Semiurban,0
1,1,0,1,0,3208,3066,172,8,1,Urban,1
1,1,2,0,1,1875,1875,97,8,1,Semiurban,1
1,0,0,1,0,3500,0,81,7,1,Semiurban,1
1,1,3,0,0,4755,0,95,8,0,Semiurban,0
1,1,3,1,1,5266,1774,187,8,1,Semiurban,1
1,0,0,1,0,3750,0,113,9,1,Urban,0
1,0,0,1,0,3750,4750,176,8,1,Urban,0
1,1,1,1,1,1000,3022,110,8,1,Urban,0
1,1,3,1,0,3167,4000,180,7,0,Semiurban,0
1,1,3,0,1,3333,2166,130,8,1,Semiurban,1
0,0,0,1,0,3846,0,111,8,1,Semiurban,1
1,1,1,1,1,2395,0,128,8,1,Semiurban,1
0,1,2,1,0,1378,1881,167,8,1,Urban,0
1,1,0,1,0,6000,2250,265,8,1,Semiurban,0
1,1,1,1,0,3988,0,50,6,1,Urban,1
1,0,0,1,0,2366,2531,136,8,1,Semiurban,1
1,1,2,0,0,3333,2000,99,8,1,Semiurban,1
1,1,0,1,0,2500,2118,104,8,1,Semiurban,1
1,0,0,1,0,8566,0,210,8,1,Urban,1
1,1,0,1,0,5695,4167,175,8,1,Semiurban,1
1,1,0,1,0,2958,2900,131,8,1,Semiurban,1
1,1,2,1,0,6250,5654,188,5,1,Semiurban,0
1,1,2,0,0,3273,1820,81,8,1,Urban,1
1,0,0,1,0,4133,0,122,8,1,Semiurban,0
1,0,0,0,0,3620,0,25,4,1,Semiurban,1
1,0,0,1,0,6782,0,128,8,1,Urban,0
0,1,0,1,0,2484,2302,137,8,1,Semiurban,1
1,1,0,1,0,1977,997,50,8,1,Semiurban,1
1,1,0,0,0,4188,0,115,5,1,Semiurban,0
1,1,0,1,0,1759,3541,131,8,1,Semiurban,1
1,1,2,0,0,4288,3263,133,5,1,Urban,1
1,0,0,1,0,4843,3806,151,8,1,Semiurban,0
1,1,0,1,0,10235.5,0,128,8,1,Urban,1
1,1,0,1,0,4652,3583,128,8,1,Semiurban,1
1,1,0,1,0,3816,754,160,8,1,Urban,0
1,1,1,1,0,3052,1030,100,8,1,Urban,1
1,1,2,1,0,10235.5,1126,225,8,1,Urban,1
1,0,0,0,0,7333,0,120,8,1,Rural,0
1,1,2,1,0,3800,3600,216,8,0,Urban,0
1,1,3,0,0,2071,754,94,9,1,Semiurban,1
1,0,0,1,0,5316,0,136,8,1,Urban,1
0,1,0,1,0,2929,2333,139,8,1,Semiurban,1
1,1,0,0,0,3572,4114,152,8,0,Rural,0
0,0,1,1,1,7451,0,128,8,1,Semiurban,1
1,0,0,1,0,5050,0,118,8,1,Semiurban,1
1,1,1,1,0,10235.5,0,185,5,1,Rural,1
0,1,0,1,0,3167,2283,154,8,1,Semiurban,1
1,1,1,1,0,2214,1398,85,8,1,Urban,1
1,1,0,1,0,5568,2142,175,8,1,Rural,0
0,0,0,1,0,10235.5,0,259,8,1,Urban,1
1,1,0,1,0,5667,2667,180,8,1,Rural,1
0,0,0,1,0,4166,0,44,8,1,Semiurban,1
0,0,0,1,0,2137,5765,137,8,0,Semiurban,1
1,1,2,1,0,2957,0,81,8,1,Semiurban,1
1,1,0,0,0,4300,2014,194,8,1,Rural,0
0,0,0,1,0,3692,0,93,8,1,Rural,1
1,1,3,1,0,10235.5,0,265,8,1,Rural,1
1,0,0,1,0,3865,1640,128,8,1,Rural,1
1,1,1,1,1,10235.5,3850,160,5,0,Urban,0
1,1,0,1,0,6080,2569,182,8,1,Rural,0
1,0,0,1,1,10235.5,0,265,9,1,Urban,1
1,0,0,1,0,2014,1929,74,8,1,Urban,1
1,0,0,1,0,2718,0,70,8,1,Semiurban,1
1,1,0,1,1,3459,0,25,4,1,Semiurban,1
1,0,0,1,0,4895,0,102,8,1,Semiurban,1
1,1,3,1,0,4000,5765,265,8,1,Semiurban,0
0,1,0,1,0,4583,0,84,8,1,Rural,0
1,1,2,1,1,3316,3500,88,8,1,Urban,1
1,0,0,1,0,10235.5,0,242,8,0,Semiurban,0
1,1,2,0,0,4200,1430,129,8,1,Rural,0
1,1,2,1,0,5042,2083,185,8,1,Rural,0
1,0,0,1,0,5417,0,168,8,1,Urban,1
1,0,0,1,1,6950,0,175,5,1,Semiurban,1
1,1,0,1,0,2698,2034,122,8,1,Semiurban,1
1,1,2,1,0,10235.5,0,187,5,1,Urban,1
0,1,0,1,0,2330,4486,100,8,1,Semiurban,1
0,1,2,1,0,10235.5,0,70,8,1,Urban,1
1,1,1,1,0,1538,1425,30,8,1,Urban,1
0,0,0,1,0,10000,1666,225,8,1,Rural,0
1,1,0,1,0,4860,830,125,8,1,Semiurban,1
1,0,0,1,0,6277,0,118,8,0,Rural,0
1,1,0,1,1,2577,3750,152,8,1,Rural,1
1,0,0,1,0,9166,0,244,8,1,Urban,0
1,1,2,0,0,2281,0,113,8,1,Rural,0
1,0,0,1,0,3254,0,50,8,1,Urban,1
1,1,3,1,0,10235.5,0,265,5,0,Semiurban,1
1,1,1,1,0,6000,0,160,8,1,Rural,1
1,1,1,1,0,9538,0,187,8,1,Urban,1
1,0,0,1,0,2980,2083,120,8,1,Rural,1
1,1,0,1,0,4583,5625,255,8,1,Semiurban,1
1,1,0,0,0,1863,1041,98,8,1,Semiurban,1
1,1,0,1,0,7933,0,265,8,1,Urban,0
1,1,1,1,0,3089,1280,121,8,0,Semiurban,0
1,1,2,1,0,4167,1447,158,8,1,Rural,1
1,1,0,1,0,9323,0,75,5,1,Urban,1
1,1,0,1,0,3707,3166,182,8,1,Rural,1
0,1,0,1,0,4583,0,112,8,1,Rural,0
1,1,0,1,0,2439,3333,129,8,1,Rural,1
1,0,0,1,0,2237,0,63,9,0,Semiurban,0
1,1,2,1,0,8000,0,200,8,1,Semiurban,1
1,1,0,0,0,1820,1769,95,8,1,Rural,1
1,1,3,1,0,10235.5,0,265,7,1,Urban,1
1,1,3,0,0,3522,0,81,5,1,Rural,0
1,1,0,1,0,5708,5625,187,8,1,Semiurban,1
1,1,0,0,1,4344,736,87,8,1,Semiurban,0
1,1,0,1,0,3497,1964,116,8,1,Rural,1
1,1,2,1,0,2045,1619,101,8,1,Rural,1
1,1,3,1,0,5516,5765,265,8,0,Semiurban,0
1,1,1,1,0,3750,0,116,8,1,Semiurban,1
1,0,0,0,0,2333,1451,102,9,0,Urban,0
1,1,1,1,0,6400,5765,180,8,0,Urban,0
1,0,0,1,0,1916,5063,67,8,1,Rural,0
1,1,0,1,0,4600,0,73,5,1,Semiurban,1
1,1,1,1,0,10235.5,0,260,8,1,Semiurban,0
0,1,0,1,0,3625,0,108,8,1,Semiurban,1
1,1,0,1,1,10235.5,4750,120,8,1,Semiurban,1
1,1,1,1,1,2178,0,66,7,0,Rural,0
1,1,0,1,0,2383,2138,58,8,1,Rural,1
1,1,0,1,1,674,5296,168,8,1,Rural,1
1,1,0,1,0,9328,0,188,5,1,Rural,1
1,0,0,0,0,4885,0,48,8,1,Rural,1
1,0,0,1,0,10235.5,0,164,8,1,Semiurban,0
1,1,0,0,0,6033,0,160,8,1,Urban,0
1,0,0,1,0,3858,0,76,8,1,Semiurban,1
1,0,0,1,0,4191,0,120,8,1,Rural,1
1,1,1,1,0,3125,2583,170,8,1,Semiurban,0
1,0,0,1,0,8333,3750,187,8,1,Rural,1
0,0,0,0,0,1907,2365,120,8,1,Urban,1
0,1,0,1,0,3416,2816,113,8,1,Semiurban,1
1,0,0,1,1,10235.5,0,83,8,1,Urban,0
1,1,1,0,0,2600,2500,90,8,1,Semiurban,1
1,0,2,1,0,4923,0,166,8,0,Semiurban,1
1,1,3,0,0,3992,0,128,5,1,Urban,0
1,1,1,0,0,3500,1083,135,8,1,Urban,1
1,1,2,0,0,3917,0,124,8,1,Semiurban,1
0,0,0,0,0,4408,0,120,8,1,Semiurban,1
0,0,0,1,0,3244,0,80,8,1,Urban,1
1,0,0,0,0,3975,2531,55,8,1,Rural,1
1,0,0,1,0,2479,0,59,8,1,Urban,1
1,0,0,1,0,3418,0,127,8,1,Semiurban,0
0,0,0,1,0,10000,0,214,8,1,Semiurban,0
1,1,3,1,0,3430,1250,128,8,0,Semiurban,0
1,1,1,1,1,7787,0,240,8,1,Urban,1
1,1,3,0,1,5703,0,130,8,1,Rural,1
1,1,0,1,0,3173,3021,137,8,1,Urban,1
1,1,3,0,0,3850,983,100,8,1,Semiurban,1
1,1,0,1,0,150,1800,135,8,1,Rural,0
1,1,0,1,0,3727,1775,131,8,1,Semiurban,1
1,1,2,1,0,5000,0,72,8,0,Semiurban,0
0,1,2,1,0,4283,2383,127,8,1,Semiurban,1
1,1,0,1,0,2221,0,60,8,0,Urban,0
1,1,2,1,0,4009,1717,116,8,1,Semiurban,1
1,0,0,1,0,2971,2791,144,8,1,Semiurban,1
1,1,0,1,0,7578,1010,175,8,1,Semiurban,1
1,1,0,1,0,6250,0,128,8,1,Semiurban,1
1,1,0,1,0,3250,0,170,8,1,Rural,0
1,1,0,0,1,4735,0,138,8,1,Urban,0
1,1,2,1,0,6250,1695,210,8,1,Semiurban,1
1,1,0,1,0,4758,0,158,9,1,Semiurban,1
1,0,0,1,1,6400,0,200,8,1,Rural,1
1,1,1,1,0,2491,2054,104,8,1,Semiurban,1
1,1,0,1,0,3716,0,42,5,1,Rural,1
1,0,0,0,0,3189,2598,120,8,1,Rural,1
0,0,0,1,0,8333,0,265,8,1,Semiurban,1
1,1,1,1,0,3155,1779,140,8,1,Semiurban,1
1,1,1,1,0,5500,1260,170,8,1,Rural,1
1,1,0,1,0,5746,0,255,8,1,Urban,0
0,0,0,1,1,3463,0,122,8,1,Urban,1
0,0,1,1,0,3812,0,112,8,1,Rural,1
1,1,1,1,0,3315,0,96,8,1,Semiurban,1
1,1,2,1,0,5819,5000,120,8,1,Rural,1
1,1,1,0,0,2510,1983,140,5,1,Urban,0
1,0,0,1,0,2965,5701,155,2,1,Urban,1
1,1,2,1,1,6250,1300,108,8,1,Rural,1
1,1,0,0,0,3406,4417,123,8,1,Semiurban,1
1,0,0,1,1,6050,4333,120,5,1,Urban,0
1,1,2,1,0,9703,0,112,8,1,Urban,1
1,1,1,0,0,6608,0,137,5,1,Urban,1
1,1,1,1,0,2882,1843,123,9,1,Semiurban,1
1,1,0,1,0,1809,1868,90,8,1,Urban,1
1,1,0,0,0,1668,3890,201,8,0,Semiurban,0
0,0,2,1,0,3427,0,138,8,1,Urban,0
1,0,0,0,1,2583,2167,104,8,1,Rural,1
1,1,1,0,0,2661,5765,265,5,1,Semiurban,1
1,0,0,1,1,10235.5,0,192,8,0,Urban,0
0,0,3,1,0,3083,0,255,8,1,Rural,1
1,0,0,0,0,6045,0,115,8,0,Rural,0
1,1,3,1,0,5250,0,94,8,1,Urban,0
1,1,0,1,0,10235.5,2100,265,8,1,Rural,0
1,1,3,0,0,4931,0,128,8,1,Semiurban,0
1,1,1,1,0,6083,4250,265,8,1,Urban,1
1,0,0,1,0,2060,2209,134,8,1,Semiurban,1
0,0,1,1,0,3481,0,155,1,1,Semiurban,0
0,0,0,1,0,7200,0,120,8,1,Rural,1
1,0,0,1,1,5166,0,128,8,1,Semiurban,1
1,0,0,1,0,4095,3447,151,8,1,Rural,1
1,1,2,1,0,4708,1387,150,8,1,Semiurban,1
1,1,3,1,0,4333,1811,160,8,0,Urban,1
0,0,0,1,0,3418,0,135,8,1,Rural,0
0,0,1,1,0,2876,1560,90,8,1,Urban,1
0,0,0,1,0,3237,0,30,8,1,Urban,1
1,1,0,1,0,10235.5,0,136,8,1,Urban,1
1,0,0,1,0,2833,1857,126,8,1,Rural,1
1,1,0,1,0,2620,2223,150,8,1,Semiurban,1
1,1,2,1,0,3900,0,90,8,1,Semiurban,1
1,1,1,1,0,2750,1842,115,8,1,Semiurban,1
1,1,0,1,0,3993,3274,207,8,1,Semiurban,1
1,1,0,1,0,3103,1300,80,8,1,Urban,1
1,1,0,1,0,10235.5,0,265,8,1,Semiurban,1
0,1,0,0,0,4100,0,124,8,1,Rural,1
1,0,1,0,1,4053,2426,158,8,0,Urban,0
1,1,0,1,0,3927,800,112,8,1,Semiurban,1
1,1,2,1,0,2301,985.7999878,78,5,1,Urban,1
0,0,0,1,0,1811,1666,54,8,1,Urban,1
1,1,0,1,0,10235.5,0,128,8,1,Rural,0
1,0,0,1,0,3158,3053,89,8,1,Rural,1
0,0,0,1,1,2600,1717,99,7,1,Semiurban,0
1,1,0,1,0,3704,2000,120,8,1,Rural,1
0,0,0,1,0,4124,0,115,8,1,Semiurban,1
1,0,0,1,0,9508,0,187,8,1,Rural,1
1,1,0,1,0,3075,2416,139,8,1,Rural,1
1,1,2,1,0,4400,0,127,8,0,Semiurban,0
1,1,2,1,0,3153,1560,134,8,1,Urban,1
0,0,0,1,0,5417,0,143,9,0,Urban,0
1,1,0,1,0,2383,3334,172,8,1,Semiurban,1
1,1,3,1,0,4416,1250,110,8,1,Urban,1
1,1,1,1,0,6875,0,200,8,1,Semiurban,1
0,1,1,1,0,4666,0,135,8,1,Urban,1
0,0,0,1,0,5000,2541,151,9,1,Rural,0
1,1,1,1,0,2014,2925,113,8,1,Urban,0
1,1,0,0,0,1800,2934,93,8,0,Urban,0
1,1,0,0,0,2875,1750,105,8,1,Semiurban,1
0,0,0,1,0,5000,0,132,8,1,Rural,1
1,1,1,1,0,1625,1803,96,8,1,Urban,1
1,0,0,1,0,4000,2500,140,8,1,Rural,1
1,0,0,0,0,2000,0,128,8,1,Urban,0
0,0,0,1,0,3762,1666,135,8,1,Rural,1
0,0,0,1,0,2400,1863,104,8,0,Urban,0
1,0,0,1,0,10235.5,0,265,8,1,Rural,0
1,1,2,0,0,7667,0,185,8,1,Rural,1
0,0,0,1,0,2917,0,84,8,1,Semiurban,1
1,0,0,0,0,2927,2405,111,8,1,Semiurban,1
0,0,0,1,0,2507,0,56,8,1,Rural,1
1,1,2,1,1,5746,0,144,3,1,Rural,1
